# center_x	center_y	half_width	half_height
417342	80011	450	625
238703	115447	450	625
130558	123770	450	625
275633	37905	450	625
312069	3292	450	625
35767	93225	450	625
59341	131026	450	625
216185	56025	450	625
303600	7000	450	625
148988	130638	450	625
167869	117921	450	625
42534	90813	450	625
66289	112271	450	625
304937	124020	450	625
104307	46611	450	625
261477	88527	450	625
208622	34657	450	625
241574	10757	450	625
443279	73884	450	625
344262	77973	450	625
2277	111855	450	625
303050	52643	450	625
412533	134360	450	625
94968	80159	450	625
156761	74533	450	625
179749	140507	450	625
93255	35708	450	625
91920	114269	450	625
103732	103535	450	625
109389	116616	450	625
348246	105743	450	625
315043	49045	450	625
20252	30795	450	625
45254	143456	450	625
201679	103693	450	625
325381	32381	450	625
333548	86657	450	625
265724	1859	450	625
232817	116570	450	625
132570	134655	450	625
190003	137444	450	625
299563	5235	450	625
98604	55808	450	625
28157	87513	450	625
373695	51823	450	625
453230	81766	450	625
93767	109198	450	625
406663	142596	450	625
452745	107594	450	625
141553	16950	450	625
426788	129159	450	625
422383	48513	450	625
180516	129585	450	625
176772	58511	450	625
176655	55267	450	625
388266	58935	450	625
185663	17654	450	625
235271	132245	450	625
185815	106553	450	625
71958	77435	450	625
422476	45565	450	625
387954	88220	450	625
421316	56394	450	625
215617	139386	450	625
374389	138547	450	625
177488	75202	450	625
388106	50297	450	625
210515	105200	450	625
394482	96965	450	625
131163	125962	450	625
281984	129154	450	625
44297	38973	450	625
313761	21345	450	625
337270	137253	450	625
106998	85005	450	625
165588	58552	450	625
62271	67919	450	625
194924	129964	450	625
18514	149866	450	625
6650	60580	450	625
331713	47364	450	625
321934	27197	450	625
348013	104126	450	625
437649	49820	450	625
47591	140737	450	625
420134	47353	450	625
194743	54708	450	625
361226	110729	450	625
329354	102173	450	625
114582	126829	450	625
235578	84348	450	625
93681	90026	450	625
419067	104431	450	625
366790	48858	450	625
263149	111018	450	625
415838	86140	450	625
142934	17497	450	625
6389	100672	450	625
376724	90363	450	625
339944	94992	450	625
98000	20303	450	625
339245	122668	450	625
352363	948	450	625
365250	73942	450	625
69321	103057	450	625
224572	62577	450	625
324005	7830	450	625
188103	111950	450	625
192213	72519	450	625
308508	132940	450	625
34837	120772	450	625
178080	114196	450	625
111121	104694	450	625
232720	32170	450	625
192509	59389	450	625
18663	120186	450	625
439244	41785	450	625
168606	149932	450	625
186234	19681	450	625
100975	68732	450	625
120191	46324	450	625
145809	82421	450	625
250506	134438	450	625
315123	11045	450	625
431457	127457	450	625
4585	12171	450	625
433129	135342	450	625
229419	8175	450	625
409988	107616	450	625
138598	129122	450	625
162657	12138	450	625
20860	91326	450	625
100523	35591	450	625
21158	97782	450	625
265973	86810	450	625
106315	22641	450	625
54386	70101	450	625
415714	31918	450	625
150039	144063	450	625
311615	33173	450	625
439620	31577	450	625
196996	141426	450	625
105571	16340	450	625
66001	100984	450	625
16408	34576	450	625
224558	135590	450	625
404714	95195	450	625
323616	101763	450	625
456386	89852	450	625
355997	108936	450	625
73614	60089	450	625
236377	3826	450	625
299791	8917	450	625
454396	34655	450	625
31932	146288	450	625
159181	46177	450	625
231417	108402	450	625
450803	38813	450	625
346595	109481	450	625
416549	93328	450	625
306758	136284	450	625
84719	41297	450	625
35731	77512	450	625
323212	134542	450	625
359816	108987	450	625
342331	38056	450	625
269376	69085	450	625
125434	71544	450	625
337302	145207	450	625
146852	3259	450	625
16195	18658	450	625
404788	12789	450	625
226212	9316	450	625
169954	96432	450	625
42750	108380	450	625
42313	35133	450	625
376816	112709	450	625
167482	19572	450	625
120721	64120	450	625
447314	129863	450	625
276407	91622	450	625
456619	114460	450	625
38708	54430	450	625
242805	10987	450	625
289737	64482	450	625
330599	112809	450	625
259692	58912	450	625
160250	54829	450	625
239981	21829	450	625
165214	31656	450	625
23209	35052	450	625
174889	68902	450	625
356061	138448	450	625
376574	37907	450	625
397068	14865	450	625
63822	147952	450	625
283888	29718	450	625
368465	117721	450	625
230348	70095	450	625
262608	56062	450	625
107429	65832	450	625
411371	134698	450	625
435097	66746	450	625
417027	37603	450	625
8327	113066	450	625
42959	63413	450	625
353770	58925	450	625
16915	68156	450	625
145573	71314	450	625
293116	21619	450	625
345232	118463	450	625
365323	115545	450	625
5234	126013	450	625
58218	4607	450	625
451560	56003	450	625
341022	97066	450	625
20536	74170	450	625
53964	91210	450	625
430517	42969	450	625
237213	74121	450	625
159735	120949	450	625
55735	148783	450	625
83374	120375	450	625
329839	149524	450	625
30142	95280	450	625
378295	122499	450	625
86396	34744	450	625
110996	55955	450	625
126409	87091	450	625
348714	50895	450	625
75394	116461	450	625
264813	37207	450	625
91132	1403	450	625
136917	103826	450	625
375124	107755	450	625
88347	45036	450	625
239656	87759	450	625
176219	30255	450	625
259587	110684	450	625
137332	15606	450	625
214164	44952	450	625
250457	113737	450	625
344396	70178	450	625
413692	12731	450	625
94669	2532	450	625
155278	72640	450	625
101145	56216	450	625
308848	3654	450	625
302871	88790	450	625
299280	97220	450	625
383898	57705	450	625
319357	119279	450	625
138416	36001	450	625
53087	47628	450	625
108137	23344	450	625
251734	46679	450	625
248696	45968	450	625
208216	70870	450	625
427646	30034	450	625
170401	45692	450	625
33318	142456	450	625
277733	68540	450	625
331124	458	450	625
369595	22673	450	625
138848	30200	450	625
418493	130423	450	625
184357	34427	450	625
252803	77999	450	625
361281	20915	450	625
284779	61743	450	625
60311	33491	450	625
355722	35432	450	625
166559	41116	450	625
8602	118483	450	625
313702	112780	450	625
244375	98945	450	625
111388	54785	450	625
45485	147938	450	625
236543	11957	450	625
183011	67369	450	625
190458	62781	450	625
25992	125292	450	625
31061	147420	450	625
261591	12267	450	625
148687	22948	450	625
425762	129575	450	625
210739	27062	450	625
82008	137023	450	625
15778	43587	450	625
78006	62205	450	625
333820	41359	450	625
240502	105633	450	625
429844	22664	450	625
430371	74265	450	625
286422	45859	450	625
169634	-343	450	625
364093	111703	450	625
437049	50479	450	625
38424	100518	450	625
351498	121488	450	625
372866	131985	450	625
438964	102782	450	625
207747	37749	450	625
67405	150102	450	625
218288	116989	450	625
117007	82333	450	625
53148	145734	450	625
82467	26769	450	625
228851	63215	450	625
298586	125898	450	625
254075	87297	450	625
98655	140593	450	625
249201	22781	450	625
119824	7450	450	625
383551	98447	450	625
60090	91394	450	625
333732	74031	450	625
10376	11157	450	625
169232	55659	450	625
350359	37746	450	625
266048	73492	450	625
24779	103273	450	625
388878	7971	450	625
408894	3406	450	625
184087	75706	450	625
239504	103139	450	625
282203	27136	450	625
184184	61929	450	625
23070	128833	450	625
383031	17846	450	625
317980	115299	450	625
269541	79389	450	625
91382	75694	450	625
321046	145740	450	625
400553	102331	450	625
190786	76278	450	625
245275	75842	450	625
135003	10830	450	625
344314	3623	450	625
379737	77878	450	625
357881	66418	450	625
115769	86961	450	625
106607	40530	450	625
277991	138702	450	625
167963	62899	450	625
100300	18320	450	625
253350	110418	450	625
265509	61558	450	625
235113	111133	450	625
169350	89743	450	625
385816	12461	450	625
451474	83316	450	625
139703	39602	450	625
393098	94994	450	625
215525	103612	450	625
161624	117783	450	625
62431	120270	450	625
341345	108215	450	625
162700	125913	450	625
320217	102440	450	625
429564	97494	450	625
423312	61040	450	625
375713	141347	450	625
134150	15703	450	625
403232	23925	450	625
374346	9373	450	625
206286	116097	450	625
69141	47566	450	625
61300	31464	450	625
436713	121802	450	625
362929	81814	450	625
435586	77385	450	625
24937	144256	450	625
158400	135162	450	625
66621	54194	450	625
103655	2410	450	625
26988	52392	450	625
285602	131878	450	625
300939	30677	450	625
141381	140248	450	625
265902	25305	450	625
142221	13865	450	625
11902	86939	450	625
424884	147627	450	625
258956	120974	450	625
392882	98110	450	625
130288	130693	450	625
153747	26550	450	625
254401	55124	450	625
364365	88547	450	625
397470	93345	450	625
381209	105635	450	625
80137	149637	450	625
412514	111754	450	625
171714	6772	450	625
213102	7194	450	625
197477	23301	450	625
37659	96357	450	625
173392	5368	450	625
325436	73273	450	625
430642	56843	450	625
160735	101408	450	625
195788	40907	450	625
301510	5914	450	625
211983	134300	450	625
335213	49978	450	625
240397	30048	450	625
140414	145660	450	625
10885	14805	450	625
286966	132276	450	625
234677	52845	450	625
205570	127132	450	625
440746	11055	450	625
226889	31016	450	625
269775	10902	450	625
152989	137995	450	625
377146	120302	450	625
410555	27559	450	625
192209	61390	450	625
129626	101870	450	625
26943	123164	450	625
141500	39117	450	625
287764	1491	450	625
151877	105174	450	625
420196	136220	450	625
66603	111351	450	625
66766	149198	450	625
214883	37489	450	625
79405	83649	450	625
249505	93658	450	625
121951	23320	450	625
177453	85174	450	625
280222	14485	450	625
199886	77108	450	625
427927	141437	450	625
25830	116195	450	625
358353	24856	450	625
286213	111843	450	625
