# center_x	center_y	half_width	half_height
450	5625	450	625
450	19375	450	625
450	40625	450	625
450	99375	450	625
450	60625	450	625
450	124375	450	625
450	51875	450	625
450	31875	450	625
450	30625	450	625
450	44375	450	625
450	8125	450	625
450	120625	450	625
14550	60625	450	625
450	71875	450	625
450	24375	450	625
450	85625	450	625
22050	71875	450	625
450	34375	450	625
450	76875	450	625
450	138125	450	625
450	143125	450	625
450	36875	450	625
450	56875	450	625
450	15625	450	625
6450	138125	450	625
450	145625	450	625
450	18125	450	625
450	66875	450	625
450	80625	450	625
450	84375	450	625
450	25625	450	625
6150	51875	450	625
22650	36875	450	625
450	125625	450	625
21150	71875	450	625
4050	5625	450	625
450	49375	450	625
450	10625	450	625
21750	36875	450	625
450	625	450	625
10350	120625	450	625
450	109375	450	625
25950	15625	450	625
450	96875	450	625
1350	143125	450	625
450	3125	450	625
450	65625	450	625
2250	145625	450	625
2250	80625	450	625
450	103125	450	625
1350	25625	450	625
450	93125	450	625
450	41875	450	625
450	130625	450	625
450	141875	450	625
24150	18125	450	625
450	45625	450	625
450	89375	450	625
450	50625	450	625
450	1875	450	625
7050	120625	450	625
12450	31875	450	625
2550	124375	450	625
450	59375	450	625
450	108125	450	625
16050	49375	450	625
20850	36875	450	625
750	113125	450	625
750	135625	450	625
1350	85625	450	625
750	91875	450	625
750	29375	450	625
29250	19375	450	625
1350	80625	450	625
750	26875	450	625
750	53125	450	625
750	20625	450	625
750	21875	450	625
26550	50625	450	625
6450	34375	450	625
750	123125	450	625
750	106875	450	625
750	73125	450	625
8850	45625	450	625
7950	45625	450	625
750	58125	450	625
750	101875	450	625
2250	8125	450	625
6750	135625	450	625
11850	15625	450	625
750	136875	450	625
750	149375	450	625
750	116875	450	625
750	100625	450	625
8850	15625	450	625
2550	58125	450	625
6450	15625	450	625
21150	26875	450	625
7350	99375	450	625
1050	48125	450	625
1050	88125	450	625
1650	106875	450	625
1050	23125	450	625
1050	79375	450	625
8250	130625	450	625
1350	30625	450	625
15450	108125	450	625
11550	60625	450	625
1050	39375	450	625
450	148125	450	625
1050	74375	450	625
1350	8125	450	625
19050	113125	450	625
1350	145625	450	625
1050	126875	450	625
1650	149375	450	625
13950	113125	450	625
13350	59375	450	625
9750	108125	450	625
28350	19375	450	625
6450	99375	450	625
1050	118125	450	625
1350	84375	450	625
1350	76875	450	625
1350	44375	450	625
1350	3125	450	625
1350	148125	450	625
5250	45625	450	625
1350	6875	450	625
1350	121875	450	625
7950	121875	450	625
7350	130625	450	625
1350	131875	450	625
1350	96875	450	625
1350	103125	450	625
1350	70625	450	625
1350	130625	450	625
1350	138125	450	625
1350	94375	450	625
1350	86875	450	625
1350	89375	450	625
5550	34375	450	625
1350	69375	450	625
10650	96875	450	625
1350	134375	450	625
1350	16875	450	625
4350	45625	450	625
1350	56875	450	625
1350	36875	450	625
77850	123125	450	625
1350	54375	450	625
1350	49375	450	625
1650	116875	450	625
1350	59375	450	625
28650	16875	450	625
450	16875	450	625
18150	56875	450	625
1650	105625	450	625
58650	6875	450	625
1650	139375	450	625
13050	113125	450	625
11250	131875	450	625
4650	34375	450	625
1650	65625	450	625
4650	36875	450	625
1650	20625	450	625
1650	13125	450	625
1650	11875	450	625
1650	34375	450	625
1650	125625	450	625
1650	75625	450	625
1650	140625	450	625
24450	11875	450	625
1650	101875	450	625
1950	126875	450	625
26550	101875	450	625
1650	10625	450	625
2250	148125	450	625
1650	51875	450	625
2550	20625	450	625
1650	71875	450	625
1650	58125	450	625
1950	39375	450	625
25650	101875	450	625
1650	73125	450	625
11550	49375	450	625
1650	124375	450	625
1650	45625	450	625
7050	121875	450	625
8550	74375	450	625
10350	131875	450	625
3450	51875	450	625
2550	73125	450	625
5250	56875	450	625
1950	104375	450	625
1950	135625	450	625
1950	79375	450	625
2250	36875	450	625
1950	99375	450	625
20550	44375	450	625
450	54375	450	625
450	131875	450	625
1950	4375	450	625
1950	15625	450	625
57750	6875	450	625
1950	28125	450	625
1950	29375	450	625
2250	49375	450	625
2550	13125	450	625
1950	88125	450	625
2250	43125	450	625
2250	24375	450	625
25050	10625	450	625
2250	146875	450	625
2250	60625	450	625
2250	94375	450	625
2250	111875	450	625
3150	111875	450	625
2250	59375	450	625
2250	54375	450	625
2250	76875	450	625
20250	71875	450	625
2250	100625	450	625
5550	99375	450	625
2250	31875	450	625
450	94375	450	625
2250	66875	450	625
2250	5625	450	625
2250	108125	450	625
4350	56875	450	625
2250	1875	450	625
2250	128125	450	625
3150	94375	450	625
2250	134375	450	625
2250	61875	450	625
1350	108125	450	625
2250	26875	450	625
2250	625	450	625
2550	51875	450	625
2550	119375	450	625
