# center_x	center_y	half_width	half_height
225000	625	225000	625
225000	1875	225000	625
225000	3125	225000	625
225000	4375	225000	625
225000	5625	225000	625
225000	6875	225000	625
225000	8125	225000	625
225000	9375	225000	625
225000	10625	225000	625
225000	11875	225000	625
225000	13125	225000	625
225000	14375	225000	625
225000	15625	225000	625
225000	16875	225000	625
225000	18125	225000	625
225000	19375	225000	625
225000	20625	225000	625
225000	21875	225000	625
225000	23125	225000	625
225000	24375	225000	625
225000	25625	225000	625
225000	26875	225000	625
225000	28125	225000	625
225000	29375	225000	625
225000	30625	225000	625
225000	31875	225000	625
225000	33125	225000	625
225000	34375	225000	625
225000	35625	225000	625
225000	36875	225000	625
225000	38125	225000	625
225000	39375	225000	625
225000	40625	225000	625
225000	41875	225000	625
225000	43125	225000	625
225000	44375	225000	625
225000	45625	225000	625
225000	46875	225000	625
225000	48125	225000	625
225000	49375	225000	625
225000	50625	225000	625
225000	51875	225000	625
225000	53125	225000	625
225000	54375	225000	625
225000	55625	225000	625
225000	56875	225000	625
225000	58125	225000	625
225000	59375	225000	625
225000	60625	225000	625
225000	61875	225000	625
225000	63125	225000	625
225000	64375	225000	625
225000	65625	225000	625
225000	66875	225000	625
225000	68125	225000	625
225000	69375	225000	625
225000	70625	225000	625
225000	71875	225000	625
225000	73125	225000	625
225000	74375	225000	625
225000	75625	225000	625
225000	76875	225000	625
225000	78125	225000	625
225000	79375	225000	625
225000	80625	225000	625
225000	81875	225000	625
225000	83125	225000	625
225000	84375	225000	625
225000	85625	225000	625
225000	86875	225000	625
225000	88125	225000	625
225000	89375	225000	625
225000	90625	225000	625
225000	91875	225000	625
225000	93125	225000	625
225000	94375	225000	625
225000	95625	225000	625
225000	96875	225000	625
225000	98125	225000	625
225000	99375	225000	625
225000	100625	225000	625
225000	101875	225000	625
225000	103125	225000	625
225000	104375	225000	625
225000	105625	225000	625
225000	106875	225000	625
225000	108125	225000	625
225000	109375	225000	625
225000	110625	225000	625
225000	111875	225000	625
225000	113125	225000	625
225000	114375	225000	625
225000	115625	225000	625
225000	116875	225000	625
225000	118125	225000	625
225000	119375	225000	625
225000	120625	225000	625
225000	121875	225000	625
225000	123125	225000	625
225000	124375	225000	625
225000	125625	225000	625
225000	126875	225000	625
225000	128125	225000	625
225000	129375	225000	625
225000	130625	225000	625
225000	131875	225000	625
225000	133125	225000	625
225000	134375	225000	625
225000	135625	225000	625
225000	136875	225000	625
225000	138125	225000	625
225000	139375	225000	625
225000	140625	225000	625
225000	141875	225000	625
225000	143125	225000	625
225000	144375	225000	625
225000	145625	225000	625
225000	146875	225000	625
225000	148125	225000	625
225000	149375	225000	625
